(0.016142,0) | (-0.014474,0)
(0.0101228,0) | (0.00824987,0)
(-0.011957,0) | (0.0144933,0)
(-0.0607315,0) | (0.00774739,0)
(-0.00974284,0) | (0.0140929,0)
(-0.00714033,0) | (0.031075,0)
(0.00639798,0) | (-0.00803473,0)
(0.00352175,0) | (0.0272409,0)
(-0.0161944,0) | (0.0144722,0)
(0.143158,0) | (-0.130301,0)
(-0.0104153,0) | (0.032276,0)
(0.0427948,0) | (-0.0049813,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0.00638686,0) | (-0.00763015,0)
(0.000392274,0) | (0.00487591,0)
(0.00589661,0) | (-0.0053925,0)
(-0.0197439,0) | (0.0358183,0)
(0.00335534,0) | (-0.00396773,0)
(0.0731963,0) | (-0.0633377,0)
(0.00717073,0) | (-0.00535808,0)
(-0.0234157,0) | (0.021799,0)
(0.00752609,0) | (-0.00362489,0)
(-0.053098,0) | (0.0616931,0)
(0.0789496,0) | (-0.0815435,0)
(-0.246058,0) | (0.127961,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0.00108318,0) | (-0.00276516,0)
(0.00114962,0) | (-0.000652317,0)
(-0.00268294,0) | (0.00329031,0)
(-0.004867,0) | (-0.00017448,0)
(0.00142595,0) | (-0.000451877,0)
(0.0137982,0) | (-0.013108,0)
(0.000373977,0) | (0.0012655,0)
(-0.00340391,0) | (0.0020845,0)
(0.00228935,0) | (-0.00249263,0)
(-0.000277461,0) | (0.0125223,0)
(0.0234856,0) | (-0.0212286,0)
(-0.0266714,0) | (0.0166286,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
(0,0) | (0,0)
