,Iteration,Energy,Noise,Gradient,Time
197,197.0,-75.62810118,0.000695,0.01408788,497.86
198,198.0,-75.62756147,0.000792,0.01451634,500.36
199,199.0,-75.62777635,0.000759,0.01430033,502.86
200,200.0,-75.62779781,0.000757,0.01554135,505.35
201,201.0,-75.62732986,0.000699,0.01670055,507.88
202,202.0,-75.6280398,0.00073,0.0143281,510.38
203,203.0,-75.62789107,0.000767,0.01665647,512.88
204,204.0,-75.62851857,0.00077,0.01634686,515.38
205,205.0,-75.62785783,0.000713,0.01450964,517.87
206,206.0,-75.62706071,0.000773,0.01651117,520.37
207,207.0,-75.62876652,0.000798,0.01996202,522.87
208,208.0,-75.6279731,0.000744,0.01547805,525.38
209,209.0,-75.62762935,0.000763,0.01562079,527.88
210,210.0,-75.62825021,0.000702,0.01479546,530.39
211,211.0,-75.62773192,0.000812,0.01592403,532.88
212,212.0,-75.62800424,0.000807,0.01524796,535.41
213,213.0,-75.62753646,0.000714,0.01331934,538.03
214,214.0,-75.62763994,0.000748,0.01458518,540.55
215,215.0,-75.62764936,0.000798,0.01463733,543.04
216,216.0,-75.62757109,0.000732,0.01493621,545.55
217,217.0,-75.62784837,0.000766,0.0168943,548.05
218,218.0,-75.62762024,0.000708,0.01341708,550.54
219,219.0,-75.62854945,0.00101,0.03580418,553.91
220,220.0,-75.62779204,0.000742,0.0141443,556.42
221,221.0,-75.62806983,0.000819,0.01551944,558.92
222,222.0,-75.62737081,0.000773,0.01531547,561.43
223,223.0,-75.62839685,0.000828,0.01600001,563.94
224,224.0,-75.62775877,0.000748,0.04376066,566.51
225,225.0,-75.62714877,0.000741,0.01987997,569.02
226,226.0,-75.62708036,0.0008,0.02471814,571.52
227,227.0,-75.62829835,0.000754,0.02204942,574.02
228,228.0,-75.62781469,0.000845,0.02019112,576.52
229,229.0,-75.6276046,0.000848,0.02338728,579.02
230,230.0,-75.62753432,0.000762,0.01897977,581.52
231,231.0,-75.62786777,0.000739,0.01930307,584.02
232,232.0,-75.62777258,0.000805,0.01883116,586.51
233,233.0,-75.62791005,0.000734,0.01675411,589.01
234,234.0,-75.62784744,0.000863,0.01853584,591.51
235,235.0,-75.62806231,0.000753,0.01788028,594.03
236,236.0,-75.6275012,0.000734,0.01740846,596.56
237,237.0,-75.62705856,0.00073,0.0170042,599.08
238,238.0,-75.62777251,0.000752,0.015902,601.59
239,239.0,-75.62809109,0.000753,0.01349708,604.08
240,240.0,-75.62857793,0.000764,0.01728271,606.59
241,241.0,-75.62755822,0.000892,0.01940419,609.1
242,242.0,-75.62857758,0.000735,0.01482304,611.6
243,243.0,-75.6276584,0.000744,0.01518222,614.1
244,244.0,-75.62799209,0.000797,0.01621708,616.6
245,245.0,-75.62846615,0.000786,0.01522885,619.1
246,246.0,-75.62839607,0.000739,0.01624088,621.59
247,247.0,-75.62839316,0.000761,0.01679631,624.09
248,248.0,-75.62772492,0.000719,0.01549124,626.63
249,249.0,-75.62842049,0.000736,0.01539035,629.12
250,250.0,-75.62846004,0.000736,0.01612876,631.63
251,251.0,-75.62821242,0.00099,0.0169453,634.14
252,252.0,-75.62818553,0.000725,0.01517447,636.63
253,253.0,-75.62813118,0.000799,0.01581491,639.13
254,254.0,-75.62794447,0.00076,0.01476238,641.62
255,255.0,-75.62869671,0.000738,0.01474635,644.11
256,256.0,-75.62800764,0.000735,0.01414101,646.6
257,257.0,-75.6277865,0.000812,0.01543663,649.09
258,258.0,-75.62816816,0.000829,0.0157096,651.59
259,259.0,-75.62808285,0.000756,0.01607734,654.09
260,260.0,-75.62781746,0.000775,0.01383894,656.63
261,261.0,-75.62833294,0.000737,0.01640129,659.13
262,262.0,-75.62758966,0.000742,0.01594864,661.63
263,263.0,-75.62816056,0.000736,0.01392273,664.13
264,264.0,-75.62776119,0.00079,0.01491475,666.63
265,265.0,-75.6281529,0.000742,0.01301668,669.12
266,266.0,-75.62775196,0.000759,0.01401765,671.61
267,267.0,-75.62816896,0.000745,0.01482287,674.11
268,268.0,-75.62817408,0.000739,0.01409659,676.62
269,269.0,-75.62785137,0.000779,0.01341668,679.11
270,270.0,-75.62880574,0.000717,0.0144523,681.61
271,271.0,-75.62829073,0.00104,0.02728507,684.11
272,272.0,-75.62792217,0.000822,0.01548806,686.74
273,273.0,-75.62869893,0.000717,0.01240435,689.23
274,274.0,-75.62825249,0.000718,0.01390118,691.72
275,275.0,-75.62771718,0.000751,0.01403783,694.22
276,276.0,-75.62780257,0.000723,0.01321784,696.72
277,277.0,-75.6277658,0.000734,0.01327015,699.22
278,278.0,-75.62760442,0.000719,0.01335272,701.73
279,279.0,-75.62791968,0.000897,0.01331539,704.23
280,280.0,-75.62814545,0.000722,0.01411142,706.73
281,281.0,-75.62752397,0.000761,0.01610109,709.23
282,282.0,-75.62848833,0.000785,0.01326944,711.74
283,283.0,-75.62833242,0.00075,0.01411222,714.23
284,284.0,-75.62877018,0.00082,0.01351859,716.77
285,285.0,-75.62824826,0.000725,0.01398483,719.27
286,286.0,-75.62924652,0.000742,0.01388635,721.77
287,287.0,-75.62826969,0.000759,0.01422677,724.26
288,288.0,-75.628148,0.000853,0.0146511,726.76
289,289.0,-75.62794529,0.000727,0.01355924,729.25
290,290.0,-75.62842127,0.000751,0.01359369,731.75
291,291.0,-75.62807611,0.000823,0.01368754,734.25
292,292.0,-75.62916757,0.000724,0.01364069,736.74
293,293.0,-75.62865955,0.00074,0.01765914,739.23
294,294.0,-75.62853671,0.000783,0.01406147,741.73
295,295.0,-75.62838808,0.000772,0.01544962,744.23
296,296.0,-75.62842488,0.000716,0.01399699,746.79
297,297.0,-75.62809839,0.000814,0.01645122,749.29
298,298.0,-75.62867582,0.000755,0.029689,751.78
299,299.0,-75.62894172,0.000739,0.01606738,754.27
300,300.0,-75.62838968,0.000725,0.01629505,756.77
301,301.0,-75.62844791,0.000772,0.01665333,759.28
302,302.0,-75.62826292,0.00078,0.01553557,761.77
303,303.0,-75.62850708,0.000751,0.01834394,764.27
304,304.0,-75.62846292,0.000751,0.0148521,766.76
305,305.0,-75.62860582,0.000738,0.01409736,769.26
306,306.0,-75.62796802,0.000733,0.01442802,771.77
307,307.0,-75.62849219,0.000738,0.01321533,774.26
308,308.0,-75.62924187,0.000812,0.0149105,776.81
309,309.0,-75.62870777,0.000789,0.01494173,779.3
310,310.0,-75.62845932,0.000793,0.01632007,781.8
311,311.0,-75.62820835,0.000765,0.02382962,784.29
312,312.0,-75.62835885,0.000726,0.01433151,786.81
313,313.0,-75.62872196,0.00075,0.01527999,789.3
314,314.0,-75.62833695,0.000766,0.01700197,791.81
315,315.0,-75.62892468,0.000724,0.01526071,794.3
316,316.0,-75.62832659,0.000727,0.01367251,796.81
317,317.0,-75.62839817,0.000737,0.01411649,799.32
318,318.0,-75.62801195,0.000731,0.01531365,801.83
319,319.0,-75.62854775,0.000721,0.01458283,804.32
320,320.0,-75.62886965,0.000753,0.01918466,806.87
321,321.0,-75.62858864,0.000764,0.01544201,809.37
322,322.0,-75.62794942,0.000739,0.01501169,811.87
323,323.0,-75.62803581,0.000733,0.01566944,814.36
324,324.0,-75.62821819,0.000734,0.01446933,816.86
325,325.0,-75.62828165,0.000798,0.01419542,819.37
326,326.0,-75.62905184,0.000737,0.01500983,821.87
327,327.0,-75.62871978,0.000734,0.01553593,824.38
328,328.0,-75.62879231,0.000947,0.01458491,826.89
329,329.0,-75.62873546,0.000752,0.01413365,829.39
330,330.0,-75.6284383,0.000794,0.01469496,831.88
331,331.0,-75.62862676,0.000731,0.01422272,834.37
332,332.0,-75.62807229,0.000762,0.01466702,836.94
333,333.0,-75.62864867,0.000718,0.01220896,839.43
334,334.0,-75.62860483,0.000798,0.01750182,841.93
335,335.0,-75.62891147,0.000793,0.01363604,844.43
336,336.0,-75.62853953,0.000733,0.01530366,846.94
337,337.0,-75.62887613,0.000797,0.01465751,849.44
338,338.0,-75.62826173,0.000769,0.01297606,852.95
339,339.0,-75.6285576,0.000699,0.01548431,855.57
340,340.0,-75.62877544,0.000785,0.01600284,858.06
341,341.0,-75.62849937,0.00074,0.01409022,860.56
342,342.0,-75.62881849,0.000742,0.01612484,863.06
343,343.0,-75.62859979,0.000763,0.03929704,865.57
344,344.0,-75.62946753,0.000724,0.01532209,868.1
345,345.0,-75.6288305,0.000767,0.01599525,870.6
346,346.0,-75.62858775,0.000734,0.02482724,873.12
347,347.0,-75.62835007,0.000789,0.01489254,875.62
348,348.0,-75.62908453,0.000742,0.02200741,878.11
349,349.0,-75.62874507,0.000744,0.02291897,880.61
350,350.0,-75.62799659,0.000912,0.01645691,883.12
351,351.0,-75.62818684,0.000765,0.01782472,885.62
352,352.0,-75.62917657,0.000774,0.01839935,888.13
353,353.0,-75.62840921,0.000788,0.01555943,890.63
354,354.0,-75.62873649,0.00101,0.01539444,893.14
355,355.0,-75.62895901,0.000763,0.01541099,895.64
356,356.0,-75.62819404,0.000798,0.01718531,898.15
357,357.0,-75.62877277,0.000916,0.01832997,900.65
358,358.0,-75.62863253,0.000728,0.01758372,903.16
359,359.0,-75.62811512,0.000987,0.01876224,905.65
360,360.0,-75.62855957,0.000768,0.01569738,908.15
361,361.0,-75.62906911,0.000731,0.02059933,910.65
362,362.0,-75.6287817,0.000778,0.01897034,913.15
363,363.0,-75.62861194,0.000739,0.01693486,915.64
364,364.0,-75.62903372,0.000739,0.01666673,918.16
365,365.0,-75.62856032,0.000734,0.01588981,920.65
366,366.0,-75.62830716,0.000913,0.01563808,923.16
367,367.0,-75.62857867,0.000779,0.01627052,925.66
368,368.0,-75.62855826,0.000858,0.01779382,928.21
369,369.0,-75.62912736,0.000823,0.01825683,930.71
370,370.0,-75.62864461,0.000724,0.01516001,933.21
371,371.0,-75.62927727,0.000745,0.0148488,935.7
372,372.0,-75.62919843,0.000746,0.01456436,938.22
373,373.0,-75.62815464,0.0008,0.01602692,940.71
374,374.0,-75.62877366,0.00106,0.01673885,943.21
375,375.0,-75.62886388,0.000709,0.01509709,945.7
376,376.0,-75.62907868,0.000935,0.01669155,948.2
377,377.0,-75.62856172,0.000764,0.01521955,950.69
378,378.0,-75.62885628,0.000756,0.01677981,953.21
379,379.0,-75.62872117,0.000751,0.01414003,955.71
380,380.0,-75.62920816,0.000713,0.01468299,958.26
381,381.0,-75.62923358,0.000747,0.01434144,960.75
382,382.0,-75.62878879,0.000724,0.01552345,963.26
383,383.0,-75.62893869,0.000746,0.01458553,965.76
384,384.0,-75.62818598,0.000755,0.01483888,968.27
385,385.0,-75.62906448,0.000765,0.01411405,970.76
386,386.0,-75.62937098,0.00074,0.01439107,973.26
387,387.0,-75.62897613,0.000825,0.01715711,975.75
388,388.0,-75.62881653,0.000721,0.01415547,978.26
389,389.0,-75.62851483,0.000845,0.01515179,980.76
